agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Sova,51.0,"{'Lotus': 0.0, 'Icebox': 94.0, 'Ascent': 100.0, 'Bind': 0.0, 'Sunset': 50.0, 'Haven': 72.0, 'Split': 0.0, 'Abyss': 100.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Killjoy,46.0,"{'Lotus': 50.0, 'Icebox': 100.0, 'Ascent': 67.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 56.0, 'Split': 0.0, 'Abyss': 33.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Viper,42.0,"{'Lotus': 47.0, 'Icebox': 88.0, 'Ascent': 0.0, 'Bind': 65.0, 'Sunset': 0.0, 'Haven': 6.0, 'Split': 92.0, 'Abyss': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Cypher,40.0,"{'Lotus': 50.0, 'Icebox': 0.0, 'Ascent': 33.0, 'Bind': 5.0, 'Sunset': 100.0, 'Haven': 39.0, 'Split': 75.0, 'Abyss': 67.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Jett,36.0,"{'Lotus': 0.0, 'Icebox': 66.0, 'Ascent': 92.0, 'Bind': 0.0, 'Sunset': 10.0, 'Haven': 44.0, 'Split': 8.0, 'Abyss': 83.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Raze,35.0,"{'Lotus': 69.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 95.0, 'Sunset': 25.0, 'Haven': 0.0, 'Split': 92.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Gekko,27.0,"{'Lotus': 16.0, 'Icebox': 44.0, 'Ascent': 0.0, 'Bind': 85.0, 'Sunset': 25.0, 'Haven': 17.0, 'Split': 0.0, 'Abyss': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Fade,26.0,"{'Lotus': 88.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 40.0, 'Sunset': 20.0, 'Haven': 6.0, 'Split': 17.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Breach,26.0,"{'Lotus': 38.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 75.0, 'Haven': 72.0, 'Split': 25.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Kayo,23.0,"{'Lotus': 3.0, 'Icebox': 22.0, 'Ascent': 83.0, 'Bind': 0.0, 'Sunset': 20.0, 'Haven': 11.0, 'Split': 0.0, 'Abyss': 50.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
